lr,train/loss,train/AnnealingWeight,train/min_scale_cur,train/kl_a,train/rec_a_random,train/mode_seeking,train/c_l,train/r_ms,train/r_md,train/f_l,train/psnr,epoch,created_at
0.0005,0.043098606169223785,0.04760905648492525,0.5,2.9525961053877836e-06,8.680164319230244e-05,2.101671270793304e-05,0.017172621563076973,0.00893459003418684,0.0,0.016880622133612633,12.234016418457031,0,2022-07-23 17:48:24.447101
0.0005,0.09901615977287292,0.04528713540117743,0.5,1.4547167666023597e-06,0.0006413342198356986,2.2501817511511035e-05,0.0487116239964962,0.008599560707807541,0.0,0.04103968292474747,8.364424705505371,0,2022-07-23 18:03:59.215709
0.0005,0.04669695347547531,0.04307845574494792,0.5,5.932298518018797e-05,0.0006198505870997906,1.1264313798164949e-05,0.01779470033943653,0.005971389357000589,0.0,0.022240428254008293,11.493093490600586,0,2022-07-23 18:20:18.339185
0.0005,0.04081633687019348,0.04097749466664628,0.5,1.2413313932313486e-08,3.250427471357398e-05,1.7352382201352157e-05,0.017312442883849144,0.006987862288951874,0.0,0.016466164961457253,12.507181167602539,0,2022-07-23 18:35:52.157539
0.0005,0.021178357303142548,0.03897899866923502,0.5,3.533484971285361e-08,0.00024602122721262276,1.1038474440283608e-05,0.00833738874644041,0.004822066053748131,0.0,0.0077618081122636795,16.25606918334961,0,2022-07-23 18:51:07.257158
0.0005,0.027885176241397858,0.03707797047175053,0.5,7.383479783129587e-08,4.026572059956379e-05,2.783316813292913e-05,0.011532171629369259,0.0043880026787519455,0.0,0.01189683098345995,14.386947631835938,0,2022-07-23 19:06:11.668718
