lr,train/loss,train/AnnealingWeight,train/min_scale_cur,train/kl_a,train/rec_a_random,train/mode_seeking,train/c_l,train/r_ms,train/r_md,train/f_l,train/psnr,epoch,created_at
0.0005,0.05091795697808266,0.04760905648492525,0.5,2.3604987120506848e-07,9.287271677749231e-05,3.6591056414181367e-05,0.020273588597774506,0.009359750896692276,0.0,0.021154917776584625,11.094938278198242,0,2022-08-04 17:11:40.972773
0.0005,0.017601296305656433,0.04528713540117743,0.5,4.839384473598329e-06,0.00029017930501140654,1.4374500096892007e-05,0.008411080576479435,0.0006222449592314661,0.0,0.0082585783675313,17.291324615478516,0,2022-08-04 17:24:37.034942
0.0005,0.023624591529369354,0.04307845574494792,0.5,2.5513007130939513e-05,4.380816608318128e-05,5.0744289183057845e-05,0.010632076300680637,0.0011164210736751556,0.0,0.011756029911339283,15.464849472045898,0,2022-08-04 17:37:25.154532
0.0005,0.028515752404928207,0.04097749466664628,0.5,8.978150617622305e-06,0.0007130718440748751,8.648706716485322e-05,0.01151486486196518,0.002608352340757847,0.0,0.013583999127149582,14.173487663269043,0,2022-08-05 05:29:57.852241
0.0005,0.02342655323445797,0.03897899866923502,0.5,7.621691111125983e-06,0.0004947531269863248,2.5780091164051555e-05,0.010365382768213749,0.0019417648436501622,0.0,0.010591250844299793,15.435151100158691,0,2022-08-05 05:43:27.188412
0.0005,0.018604498356580734,0.03707797047175053,0.5,8.808132179183303e-07,2.7963767934124917e-05,1.752360913087614e-05,0.008316303603351116,0.001120897475630045,0.0,0.009120929054915905,16.29299545288086,0,2022-08-05 09:19:18.830408
